cnt,ir,red,green,hr,spo2,temp,battery
14121,154503,127882,21182,0,0,0,0
14141,154522,127843,21192,0,0,0,0
14161,154359,127761,21146,0,0,0,0
14181,154587,127910,21208,0,0,0,0
14201,154369,127751,21162,0,0,0,0
14221,154523,127871,21182,0,0,0,0
14241,154480,127828,21196,0,0,0,0
14261,154419,127808,21172,0,0,0,0
14281,154512,127858,21189,0,0,0,0
14301,154429,127821,21173,0,0,0,0
14321,154494,127846,21182,0,0,0,0
14341,154417,127809,21168,0,0,0,0
14361,154504,127858,21170,0,0,0,0
14381,154468,127813,21189,0,0,0,0
14401,154435,127807,21168,0,0,0,0
14421,154508,127869,21184,0,0,0,0
14441,154426,127807,21181,0,0,0,0
14461,154530,127866,21191,0,0,0,0
14481,154507,127840,21182,0,0,0,0
14501,154495,127870,21191,0,0,0,0
14521,154487,127841,21163,0,0,0,0
14541,154534,127878,21197,0,0,0,0
14561,154445,127826,21159,0,0,0,0
14581,154561,127895,21196,0,0,0,0
14601,154430,127809,21185,0,0,0,0
14621,154493,127895,21169,0,0,0,0
14641,154510,127848,21192,0,0,0,0
14661,154465,127849,21182,0,0,0,0
14681,154551,127877,21186,0,0,0,0
14701,154451,127812,21182,0,0,0,0
14721,154560,127892,21167,0,0,0,0
14741,154453,127809,21180,0,0,0,0
14761,154523,127885,21187,0,0,0,0
14781,154454,127831,21169,0,0,0,0
14801,154518,127866,21200,0,0,0,0
14821,154480,127832,21167,0,0,0,0
14841,154501,127857,21188,0,0,0,0
14861,154542,127863,21184,0,0,0,0
14881,154342,127737,21155,0,0,0,0
14901,154582,127920,21188,0,0,0,0
14921,154483,127812,21188,0,0,0,0
14941,154416,127810,21163,0,0,0,0
14961,154624,127912,21210,0,0,0,0
14981,154328,127751,21152,0,0,0,0
15001,154617,127931,21205,0,0,0,0
15021,154382,127757,21157,0,0,0,0
15041,154543,127880,21179,0,0,0,0
15061,154480,127827,21196,0,0,0,0
15081,154465,127868,21174,0,0,0,0
15101,154524,127921,21207,0,0,0,0
15121,154446,127860,21173,0,0,0,0
15141,154527,127840,21190,0,0,0,0
15161,154469,127784,21191,0,0,0,0
15181,154549,127842,21183,0,0,0,0
15201,154499,127803,21184,0,0,0,0
15221,154562,127863,21174,0,0,0,0
15241,154454,127833,21178,0,0,0,0
15261,154498,127846,21187,0,0,0,0
15281,154403,127820,21168,0,0,0,0
15301,154529,127899,21219,0,0,0,0
15321,154419,127809,21206,0,0,0,0
15341,154555,127915,21231,0,0,0,0
15361,154455,127813,21194,0,0,0,0
15381,154530,127884,21187,0,0,0,0
15401,154490,127861,21190,0,0,0,0
15421,154510,127864,21178,0,0,0,0
15441,154467,127816,21189,0,0,0,0
15461,154515,127876,21188,0,0,0,0
15481,154453,127844,21188,0,0,0,0
15501,154521,127863,21196,0,0,0,0
15521,154475,127833,21168,0,0,0,0
15541,154498,127864,21185,0,0,0,0
15561,154472,127859,21181,0,0,0,0
15581,154501,127849,21194,0,0,0,0
15601,154491,127846,21195,0,0,0,0
15621,154492,127858,21165,0,0,0,0
15641,154475,127845,21181,0,0,0,0
15661,154494,127866,21185,0,0,0,0
15681,154491,127850,21191,0,0,0,0
15701,154485,127852,21184,0,0,0,0
15721,154498,127864,21183,0,0,0,0
15741,154514,127850,21186,0,0,0,0
15772,154495,127851,21179,96,69,0,0
15781,154493,127853,21177,0,0,0,0
15801,154494,127853,21195,0,0,0,0
15821,154491,127853,21184,0,0,0,0
15841,154498,127850,21185,0,0,0,0
15861,154472,127861,21195,0,0,0,0
15881,154503,127857,21174,0,0,0,0
15901,154485,127838,21184,0,0,0,0
15921,154514,127859,21177,0,0,0,0
15941,154491,127836,21188,0,0,0,0
15961,154487,127853,21189,0,0,0,0
15981,154498,127865,21198,0,0,0,0
16001,154482,127851,21193,0,0,0,0
16021,154521,127880,21191,0,0,0,0
16041,154455,127839,21184,0,0,0,0
16061,154511,127864,21197,0,0,0,0
16081,154464,127848,21186,0,0,0,0
16101,154605,127908,21202,0,0,0,0
16121,154323,127673,21164,0,0,0,0
16141,154425,127855,21172,0,0,0,0
16161,154750,127970,21228,0,0,0,0
16181,154111,127625,21118,0,0,0,0
16201,154933,128125,21260,0,0,0,0
16221,154101,127558,21128,0,0,0,0
16241,154772,128063,21215,0,0,0,0
16261,154293,127687,21164,0,0,0,0
16281,154582,127941,21185,0,0,0,0
16301,154495,127820,21203,0,0,0,0
16321,154414,127828,21175,0,0,0,0
16341,154598,127914,21192,0,0,0,0
16361,154376,127767,21176,0,0,0,0
16381,154631,127959,21215,0,0,0,0
16401,154339,127743,21171,0,0,0,0
16421,154631,127951,21192,0,0,0,0
16441,154356,127759,21178,0,0,0,0
16461,154677,127955,21222,0,0,0,0
16481,154299,127673,21167,0,0,0,0
16501,154435,127864,21172,0,0,0,0
16521,154726,127944,21240,0,0,0,0
16541,154124,127637,21140,0,0,0,0
16561,154869,128099,21235,0,0,0,0
16581,154137,127596,21124,0,0,0,0
16601,154715,128026,21207,0,0,0,0
16621,154362,127732,21174,0,0,0,0
16641,154494,127891,21186,0,0,0,0
16661,154530,127864,21205,0,0,0,0
16681,154380,127799,21161,0,0,0,0
16701,154597,127907,21211,0,0,0,0
16721,154381,127772,21170,0,0,0,0
16741,154559,127922,21184,0,0,0,0
16761,154388,127791,21177,0,0,0,0
16781,154548,127892,21192,0,0,0,0
16801,154427,127796,21170,0,0,0,0
16821,154559,127889,21196,0,0,0,0
16841,154439,127805,21184,0,0,0,0
16861,154507,127855,21181,0,0,0,0
16881,154462,127830,21181,0,0,0,0
16901,154452,127831,21174,0,0,0,0
16921,154513,127864,21202,0,0,0,0
16941,154445,127817,21167,0,0,0,0
16961,154494,127845,21188,0,0,0,0
16981,154475,127828,21186,0,0,0,0
17001,154470,127836,21170,0,0,0,0
17021,154488,127857,21187,0,0,0,0
17041,154483,127871,21176,0,0,0,0
17061,154465,127844,21182,0,0,0,0
17081,154474,127871,21173,0,0,0,0
17101,154466,127806,21164,0,0,0,0
17121,154488,127798,21182,0,0,0,0
17141,154380,127742,21171,0,0,0,0
17161,154588,127889,21199,0,0,0,0
17181,154378,127758,21166,0,0,0,0
17201,154544,127901,21176,0,0,0,0
17221,154420,127784,21175,0,0,0,0
17241,154436,127833,21168,0,0,0,0
17261,154500,127871,21186,0,0,0,0
17281,154371,127809,21176,0,0,0,0
17301,154513,127883,21214,0,0,0,0
17321,154421,127797,21227,0,0,0,0
17341,154498,127869,21166,0,0,0,0
17361,154459,127814,21169,0,0,0,0
17381,154480,127830,21160,0,0,0,0
17401,154461,127819,21178,0,0,0,0
17421,154492,127839,21181,0,0,0,0
17441,154459,127841,21171,0,0,0,0
17461,154490,127842,21194,0,0,0,0
17481,154449,127846,21170,0,0,0,0
17501,154624,127948,21198,0,0,0,0
17521,154647,127887,21197,0,0,0,0
17541,154029,127585,21110,0,0,0,0
17561,155057,128217,21272,0,0,0,0
17581,153897,127419,21105,0,0,0,0
17601,154963,128207,21232,0,0,0,0
17621,154082,127508,21146,0,0,0,0
17641,154524,127971,21164,0,0,0,0
17661,154630,127860,21218,0,0,0,0
17681,154141,127657,21119,0,0,0,0
17701,154875,128069,21235,0,0,0,0
17721,154046,127535,21132,0,0,0,0
17741,154821,128100,21213,0,0,0,0
17761,154183,127591,21157,0,0,0,0
17781,154634,127991,21196,0,0,0,0
17801,154381,127738,21185,0,0,0,0
17821,154470,127868,21188,0,0,0,0
17841,154480,127829,21184,0,0,0,0
17861,154399,127783,21170,0,0,0,0
17881,154545,127871,21198,0,0,0,0
17901,154363,127759,21155,0,0,0,0
17921,154539,127873,21205,0,0,0,0
17941,154394,127770,21184,0,0,0,0
17961,154512,127859,21194,0,0,0,0
17981,154422,127798,21182,0,0,0,0
18001,154466,127837,21202,0,0,0,0
18021,154453,127828,21185,0,0,0,0
18041,154469,127848,21177,0,0,0,0
18061,154459,127814,21177,0,0,0,0
18081,154449,127823,21174,0,0,0,0
18101,154480,127837,21188,0,0,0,0
18121,154452,127803,21181,0,0,0,0
18141,154482,127843,21177,0,0,0,0
18161,154445,127817,21192,0,0,0,0
18181,154467,127851,21193,0,0,0,0
18201,154439,127823,21160,0,0,0,0
18221,154473,127827,21183,0,0,0,0
18241,154465,127841,21170,0,0,0,0
18261,154471,127822,21192,0,0,0,0
18281,154468,127822,21178,0,0,0,0
18301,154471,127839,21174,0,0,0,0
18321,154476,127831,21185,0,0,0,0
18341,154454,127823,21174,0,0,0,0
18361,154490,127840,21181,0,0,0,0
18381,154511,127841,21207,0,0,0,0
18401,154242,127660,21144,0,0,0,0
18421,154669,127987,21213,0,0,0,0
18441,154366,127721,21180,0,0,0,0
18461,154424,127860,21166,0,0,0,0
18481,154639,127922,21216,0,0,0,0
18501,154198,127663,21139,0,0,0,0
18521,154686,127966,21214,0,0,0,0
18541,154274,127697,21154,0,0,0,0
18561,154545,127895,21167,0,0,0,0
18581,154455,127782,21179,0,0,0,0
18601,154435,127827,21167,0,0,0,0
18621,154508,127854,21200,0,0,0,0
18641,154418,127785,21178,0,0,0,0
18661,154484,127859,21188,0,0,0,0
18681,154431,127808,21184,0,0,0,0
18701,154465,127824,21178,0,0,0,0
18721,154444,127808,21177,0,0,0,0
18741,154464,127831,21181,0,0,0,0
18772,154451,127819,21161,98,69,0,0
18781,154481,127834,21182,0,0,0,0
18801,154457,127847,21168,0,0,0,0
18821,154455,127822,21168,0,0,0,0
18841,154480,127844,21190,0,0,0,0
18861,154451,127819,21169,0,0,0,0
18881,154448,127822,21164,0,0,0,0
18901,154486,127842,21185,0,0,0,0
18921,154430,127807,21177,0,0,0,0
18941,154508,127838,21184,0,0,0,0
18961,154434,127791,21168,0,0,0,0
18981,154472,127826,21187,0,0,0,0
19001,154468,127828,21196,0,0,0,0
19021,154446,127812,21167,0,0,0,0
19041,154470,127879,21182,0,0,0,0
19061,154439,127851,21162,0,0,0,0
19081,154478,127867,21184,0,0,0,0
19101,154454,127844,21173,0,0,0,0
19121,154468,127787,21181,0,0,0,0
19141,154462,127805,21189,0,0,0,0
19161,154468,127804,21175,0,0,0,0
19181,154498,127794,21186,0,0,0,0
19201,154504,127822,21192,0,0,0,0
19221,154412,127811,21171,0,0,0,0
19241,154429,127811,21189,0,0,0,0
19261,154438,127833,21173,0,0,0,0
19281,154401,127823,21196,0,0,0,0
19301,154463,127828,21235,0,0,0,0
19321,154422,127821,21196,0,0,0,0
19341,154455,127815,21183,0,0,0,0
19361,154433,127802,21165,0,0,0,0
19381,154463,127825,21179,0,0,0,0
19401,154441,127822,21161,0,0,0,0
19421,154448,127819,21180,0,0,0,0
19441,154457,127815,21174,0,0,0,0
19461,154446,127808,21161,0,0,0,0
19481,154484,127844,21182,0,0,0,0
19501,154435,127814,21170,0,0,0,0
19521,154473,127823,21189,0,0,0,0
19541,154432,127823,21177,0,0,0,0
19561,154439,127814,21172,0,0,0,0
19581,154460,127820,21202,0,0,0,0
19601,154434,127805,21166,0,0,0,0
19621,154471,127822,21178,0,0,0,0
19641,154440,127815,21184,0,0,0,0
19661,154479,127818,21173,0,0,0,0
19681,154443,127800,21195,0,0,0,0
19701,154442,127825,21176,0,0,0,0
19721,154441,127808,21180,0,0,0,0
19741,154459,127822,21169,0,0,0,0
19761,154468,127831,21178,0,0,0,0
19781,154442,127820,21191,0,0,0,0
19801,154463,127834,21180,0,0,0,0
19821,154449,127813,21176,0,0,0,0
19841,154451,127829,21194,0,0,0,0
19861,154459,127836,21170,0,0,0,0
19881,154478,127820,21199,0,0,0,0
19901,154470,127840,21188,0,0,0,0
19921,154452,127806,21180,0,0,0,0
19941,154482,127821,21187,0,0,0,0
19961,154446,127831,21170,0,0,0,0
19981,154469,127821,21192,0,0,0,0
20001,154460,127836,21182,0,0,0,0
20021,154453,127816,21179,0,0,0,0
20041,154473,127826,21193,0,0,0,0
20061,154458,127820,21176,0,0,0,0
20081,154472,127827,21175,0,0,0,0
20101,154432,127812,21168,0,0,0,0
20121,154468,127840,21186,0,0,0,0
20141,154444,127803,21185,0,0,0,0
20161,154472,127822,21162,0,0,0,0
20181,154465,127822,21180,0,0,0,0
20201,154444,127826,21175,0,0,0,0
20221,154462,127840,21167,0,0,0,0
20241,154442,127812,21175,0,0,0,0
20261,154470,127841,21176,0,0,0,0
20281,154446,127816,21186,0,0,0,0
20301,154459,127817,21181,0,0,0,0
20321,154446,127826,21171,0,0,0,0
20341,154451,127834,21188,0,0,0,0
20361,154463,127833,21178,0,0,0,0
20381,154437,127810,21184,0,0,0,0
20401,154466,127825,21187,0,0,0,0
20421,154452,127823,21160,0,0,0,0
20441,154458,127811,21183,0,0,0,0
20461,154454,127830,21178,0,0,0,0
20481,154456,127824,21184,0,0,0,0
20501,154405,127780,21187,0,0,0,0
20521,154476,127853,21176,0,0,0,0
20541,154433,127792,21182,0,0,0,0
20561,154436,127821,21194,0,0,0,0
20581,154485,127830,21183,0,0,0,0
20601,154395,127784,21175,0,0,0,0
20621,154510,127861,21166,0,0,0,0
20641,154418,127790,21175,0,0,0,0
20661,154474,127842,21176,0,0,0,0
20681,154451,127810,21181,0,0,0,0
20701,154414,127796,21174,0,0,0,0
20721,154474,127831,21170,0,0,0,0
20741,154422,127814,21166,0,0,0,0
20761,154475,127851,21175,0,0,0,0
20781,154439,127819,21170,0,0,0,0
20801,154439,127796,21193,0,0,0,0
20821,154484,127831,21172,0,0,0,0
20841,154438,127811,21176,0,0,0,0
20861,154487,127825,21190,0,0,0,0
20881,154441,127819,21158,0,0,0,0
20901,154478,127828,21181,0,0,0,0
20921,154431,127812,21174,0,0,0,0
20941,154451,127817,21180,0,0,0,0
20961,154437,127817,21182,0,0,0,0
20981,154440,127822,21167,0,0,0,0
21001,154491,127831,21197,0,0,0,0
21021,154277,127704,21163,0,0,0,0
21041,154593,127956,21182,0,0,0,0
21061,154380,127799,21181,0,0,0,0
21081,154410,127860,21164,0,0,0,0
21101,154585,127894,21203,0,0,0,0
21121,154256,127667,21162,0,0,0,0
21141,154618,127901,21183,0,0,0,0
21161,154296,127667,21160,0,0,0,0
21181,154593,127895,21191,0,0,0,0
21201,154432,127754,21179,0,0,0,0
21221,154436,127835,21179,0,0,0,0
21241,154405,127806,21172,0,0,0,0
21261,154393,127816,21197,0,0,0,0
21281,154426,127826,21201,0,0,0,0
21301,154423,127808,21226,0,0,0,0
21321,154478,127830,21214,0,0,0,0
21341,154403,127807,21151,0,0,0,0
21361,154469,127832,21183,0,0,0,0
21381,154439,127814,21180,0,0,0,0
21401,154446,127817,21175,0,0,0,0
21421,154449,127810,21165,0,0,0,0
21441,154445,127809,21185,0,0,0,0
21461,154458,127826,21174,0,0,0,0
21481,154432,127799,21171,0,0,0,0
21501,154459,127838,21184,0,0,0,0
21521,154439,127812,21179,0,0,0,0
21541,154461,127816,21190,0,0,0,0
21561,154447,127830,21179,0,0,0,0
21581,154424,127804,21160,0,0,0,0
21601,154471,127841,21188,0,0,0,0
21621,154431,127805,21162,0,0,0,0
21641,154479,127834,21175,0,0,0,0
21661,154434,127798,21165,0,0,0,0
21681,154439,127826,21166,0,0,0,0
21701,154456,127813,21174,0,0,0,0
21721,154417,127821,21165,0,0,0,0
21741,154558,127869,21185,0,0,0,0
21772,154285,127723,21167,95,70,0,0
21781,154617,127935,21186,0,0,0,0
21801,154310,127704,21168,0,0,0,0
21821,154550,127891,21182,0,0,0,0
21841,154411,127760,21169,0,0,0,0
21861,154415,127822,21165,0,0,0,0
21881,154520,127859,21176,0,0,0,0
21901,154368,127764,21165,0,0,0,0
21921,154513,127864,21184,0,0,0,0
21941,154369,127763,21163,0,0,0,0
21961,154505,127861,21179,0,0,0,0
21981,154417,127802,21175,0,0,0,0
22001,154454,127817,21175,0,0,0,0
22021,154434,127823,21175,0,0,0,0
22041,154453,127818,21176,0,0,0,0
22061,154450,127818,21167,0,0,0,0
22081,154446,127826,21171,0,0,0,0
22101,154442,127794,21178,0,0,0,0
22121,154458,127829,21173,0,0,0,0
22141,154423,127799,21161,0,0,0,0
22161,154462,127827,21195,0,0,0,0
22181,154406,127795,21141,0,0,0,0
22201,154496,127837,21192,0,0,0,0
22221,154398,127787,21175,0,0,0,0
22241,154513,127841,21189,0,0,0,0
22261,154432,127788,21182,0,0,0,0
22281,154449,127847,21171,0,0,0,0
22301,154455,127798,21185,0,0,0,0
22321,154430,127808,21171,0,0,0,0
22341,154454,127828,21181,0,0,0,0
22361,154440,127793,21185,0,0,0,0
22381,154468,127827,21166,0,0,0,0
22401,154427,127816,21163,0,0,0,0
22421,154455,127827,21188,0,0,0,0
22441,154450,127821,21176,0,0,0,0
22461,154460,127814,21185,0,0,0,0
22481,154434,127806,21176,0,0,0,0
22501,154459,127819,21178,0,0,0,0
22521,154441,127799,21186,0,0,0,0
22541,154440,127822,21168,0,0,0,0
22561,154458,127806,21182,0,0,0,0
22581,154437,127806,21175,0,0,0,0
22601,154455,127813,21182,0,0,0,0
22621,154430,127816,21188,0,0,0,0
22641,154456,127823,21163,0,0,0,0
22661,154445,127807,21181,0,0,0,0
22681,154436,127809,21170,0,0,0,0
22701,154450,127842,21174,0,0,0,0
22721,154445,127800,21176,0,0,0,0
22741,154448,127843,21170,0,0,0,0
22761,154424,127803,21188,0,0,0,0
22781,154436,127825,21174,0,0,0,0
22801,154445,127804,21178,0,0,0,0
22821,154412,127814,21174,0,0,0,0
22841,154451,127834,21174,0,0,0,0
22861,154433,127813,21185,0,0,0,0
22881,154447,127809,21176,0,0,0,0
22901,154447,127821,21170,0,0,0,0
22921,154483,127841,21194,0,0,0,0
22941,154377,127748,21166,0,0,0,0
22961,154457,127839,21178,0,0,0,0
22981,154502,127845,21195,0,0,0,0
23001,154312,127769,21160,0,0,0,0
23021,154606,127914,21190,0,0,0,0
23041,154284,127732,21164,0,0,0,0
23061,154568,127957,21175,0,0,0,0
23081,154372,127804,21173,0,0,0,0
23101,154483,127858,21180,0,0,0,0
23121,154420,127738,21200,0,0,0,0
23141,154438,127778,21179,0,0,0,0
23161,154511,127782,21174,0,0,0,0
23181,154483,127780,21173,0,0,0,0
23201,154446,127827,21176,0,0,0,0
23221,154372,127772,21179,0,0,0,0
23241,154438,127849,21188,0,0,0,0
23261,154373,127789,21188,0,0,0,0
23281,154423,127826,21221,0,0,0,0
23301,154435,127817,21154,0,0,0,0
23321,154431,127798,21179,0,0,0,0
23341,154442,127817,21156,0,0,0,0
23361,154444,127807,21169,0,0,0,0
23381,154459,127819,21174,0,0,0,0
23401,154424,127802,21164,0,0,0,0
23421,154422,127823,21172,0,0,0,0
23441,154445,127832,21166,0,0,0,0
23461,154437,127803,21196,0,0,0,0
23481,154443,127808,21171,0,0,0,0
23501,154449,127816,21174,0,0,0,0
23521,154441,127811,21182,0,0,0,0
23541,154461,127834,21170,0,0,0,0
23561,154421,127781,21176,0,0,0,0
23581,154480,127847,21167,0,0,0,0
23601,154436,127796,21178,0,0,0,0
23621,154401,127793,21180,0,0,0,0
23641,154501,127860,21184,0,0,0,0
23661,154369,127758,21176,0,0,0,0
23681,154517,127874,21191,0,0,0,0
23701,154379,127777,21172,0,0,0,0
23721,154487,127857,21176,0,0,0,0
23741,154414,127797,21164,0,0,0,0
24787,154448,127820,21175,94,70,27.6,0
24789,154412,127790,21160,0,0,0,0
24801,154467,127817,21185,0,0,0,0
24821,154436,127805,21160,0,0,0,0
24841,154454,127809,21180,0,0,0,0
24861,154435,127816,21175,0,0,0,0
24881,154435,127821,21182,0,0,0,0
24901,154420,127802,21188,0,0,0,0
24921,154444,127827,21169,0,0,0,0
24941,154418,127790,21175,0,0,0,0
24961,154440,127823,21177,0,0,0,0
24981,154425,127797,21158,0,0,0,0
25001,154444,127816,21184,0,0,0,0
25021,154455,127818,21176,0,0,0,0
25041,154415,127807,21171,0,0,0,0
25061,154456,127831,21178,0,0,0,0
25081,154428,127808,21160,0,0,0,0
25101,154435,127821,21188,0,0,0,0
25121,154452,127825,21171,0,0,0,0
25141,154426,127802,21171,0,0,0,0
25161,154445,127808,21187,0,0,0,0
25181,154431,127800,21164,0,0,0,0
25201,154442,127822,21178,0,0,0,0
25221,154424,127801,21176,0,0,0,0
25241,154430,127816,21179,0,0,0,0
25261,154433,127799,21181,0,0,0,0
25281,154442,127831,21170,0,0,0,0
25301,154441,127798,21174,0,0,0,0
25321,154463,127826,21176,0,0,0,0
25341,154431,127806,21158,0,0,0,0
25361,154460,127815,21178,0,0,0,0
25381,154435,127809,21172,0,0,0,0
25401,154422,127801,21165,0,0,0,0
25421,154426,127806,21170,0,0,0,0
25441,154427,127771,21178,0,0,0,0
25461,154430,127817,21157,0,0,0,0
25481,154420,127789,21164,0,0,0,0
25501,154422,127806,21172,0,0,0,0
25521,154454,127785,21165,0,0,0,0
25541,154414,127775,21163,0,0,0,0
25561,154442,127826,21177,0,0,0,0
25581,154434,127805,21184,0,0,0,0
25601,154411,127786,21170,0,0,0,0
25621,154450,127809,21174,0,0,0,0
25641,154404,127766,21182,0,0,0,0
25661,154455,127825,21164,0,0,0,0
25681,154400,127768,21173,0,0,0,0
25701,154453,127837,21172,0,0,0,0
25721,154402,127780,21178,0,0,0,0
25741,154433,127805,21172,0,0,0,0
25761,154421,127809,21164,0,0,0,0
25781,154421,127788,21179,0,0,0,0
25801,154457,127810,21184,0,0,0,0
25821,154388,127778,21165,0,0,0,0
25841,154434,127801,21192,0,0,0,0
25861,154407,127794,21169,0,0,0,0
25881,154429,127799,21180,0,0,0,0
25901,154419,127804,21181,0,0,0,0
25921,154414,127805,21183,0,0,0,0
25941,154427,127806,21189,0,0,0,0
25961,154430,127817,21174,0,0,0,0
25981,154431,127804,21178,0,0,0,0
26001,154432,127806,21182,0,0,0,0
26021,154417,127807,21179,0,0,0,0
26041,154428,127788,21181,0,0,0,0
26061,154447,127821,21174,0,0,0,0
26081,154403,127793,21174,0,0,0,0
26101,154416,127791,21179,0,0,0,0
26121,154418,127800,21184,0,0,0,0
26141,154413,127789,21176,0,0,0,0
26161,154431,127807,21183,0,0,0,0
26181,154414,127798,21163,0,0,0,0
26201,154426,127810,21182,0,0,0,0
26221,154413,127790,21174,0,0,0,0
26241,154427,127811,21189,0,0,0,0
26261,154423,127797,21182,0,0,0,0
26281,154411,127786,21173,0,0,0,0
26301,154421,127801,21179,0,0,0,0
26321,154436,127806,21176,0,0,0,0
26341,154436,127787,21181,0,0,0,0
26361,154423,127801,21159,0,0,0,0
26381,154430,127802,21175,0,0,0,0
26401,154420,127796,21183,0,0,0,0
26421,154428,127797,21166,0,0,0,0
26441,154400,127762,21184,0,0,0,0
26461,154449,127823,21186,0,0,0,0
26481,154400,127782,21151,0,0,0,0
26501,154433,127822,21183,0,0,0,0
26521,154388,127778,21161,0,0,0,0
26541,154423,127813,21179,0,0,0,0
26561,154446,127803,21185,0,0,0,0
26581,154394,127769,21170,0,0,0,0
26601,154431,127801,21181,0,0,0,0
26621,154436,127815,21160,0,0,0,0
26641,154429,127789,21184,0,0,0,0
26661,154408,127794,21175,0,0,0,0
26681,154417,127779,21157,0,0,0,0
26701,154428,127800,21180,0,0,0,0
26721,154420,127821,21171,0,0,0,0
26741,154407,127779,21173,0,0,0,0
26761,154425,127808,21181,0,0,0,0
26781,154428,127800,21168,0,0,0,0
26801,154429,127790,21185,0,0,0,0
26821,154414,127798,21166,0,0,0,0
26841,154411,127804,21167,0,0,0,0
26861,154414,127791,21175,0,0,0,0
26881,154434,127816,21175,0,0,0,0
26901,154405,127772,21174,0,0,0,0
26921,154441,127827,21193,0,0,0,0
26941,154423,127777,21179,0,0,0,0
26961,154431,127806,21192,0,0,0,0
26981,154428,127799,21167,0,0,0,0
27001,154418,127794,21172,0,0,0,0
27021,154428,127801,21179,0,0,0,0
27041,154418,127833,21164,0,0,0,0
27061,154431,127766,21188,0,0,0,0
27081,154429,127773,21168,0,0,0,0
27101,154411,127778,21175,0,0,0,0
27121,154417,127757,21178,0,0,0,0
27141,154412,127763,21169,0,0,0,0
27161,154431,127784,21188,0,0,0,0
27181,154402,127792,21177,0,0,0,0
27201,154394,127808,21176,0,0,0,0
27221,154374,127798,21177,0,0,0,0
27241,154366,127807,21168,0,0,0,0
27261,154419,127793,21226,0,0,0,0
27281,154385,127790,21213,0,0,0,0
27301,154437,127795,21167,0,0,0,0
27321,154433,127802,21150,0,0,0,0
27341,154406,127784,21143,0,0,0,0
27361,154430,127811,21172,0,0,0,0
27381,154392,127771,21163,0,0,0,0
27401,154428,127810,21165,0,0,0,0
27421,154412,127806,21156,0,0,0,0
27441,154407,127791,21176,0,0,0,0
27461,154431,127808,21175,0,0,0,0
27481,154400,127784,21154,0,0,0,0
27501,154455,127821,21186,0,0,0,0
27521,154398,127787,21168,0,0,0,0
27541,154421,127802,21181,0,0,0,0
27561,154413,127788,21186,0,0,0,0
27581,154405,127783,21179,0,0,0,0
27601,154432,127806,21182,0,0,0,0
